#tail	head	KSP index
SRC	Q9Y6Q6	1
SRC	P20333	2
SRC	P28908	3
SRC	Q8IV45	4
Q9Y6Q6	Q13114	5
Q9Y6Q6	Q15750	6
Q9Y6Q6	Q04206	7
Q9Y6Q6	Q9NYJ8	8
Q9Y6Q6	Q13077	9
Q9Y6Q6	O00463	10
Q9Y6Q6	P19838	11
Q9Y6Q6	Q12933	12
Q9Y6Q6	Q9Y4K3	13
Q9Y6Q6	O43318	14
Q9Y6Q6	P12931	15
Q9Y6Q6	P27986	16
P20333	P08107	17
P20333	P43405	18
P20333	Q12933	19
P20333	P19438	20
P20333	P42224	21
P20333	Q9Y297	22
P20333	Q13077	23
P20333	P21333	24
P20333	Q13490	25
P20333	P11142	26
P20333	Q9UKB1	27
P20333	Q15628	28
P20333	Q13233	29
P20333	Q9UHD2	30
P28908	Q12933	31
P28908	O00463	32
P28908	Q13114	33
P28908	Q13077	34
Q8IV45	Q04206	35
Q04206	P08107	36
Q04206	Q13547	37
Q04206	P25963	38
Q04206	Q12933	39
Q04206	P42224	40
Q04206	Q92793	41
Q04206	P19838	42
Q04206	P21580	43
Q04206	Q92769	44
Q04206	Q09472	45
Q04206	P11142	46
Q04206	Q8IV45	47
Q04206	P29590	48
Q04206	Q13490	49
Q04206	Q01201	50
Q04206	Q04864	51
Q04206	Q99759	52
Q04206	Q9Y297	53
Q04206	Q15653	54
Q04206	P08238	55
Q04206	O00221	56
Q04206	Q00653	57
Q04206	SNK	58
P08107	Q9Y4K3	59
P08107	P19838	60
P08107	Q9Y6K9	61
P08107	P25963	62
P08107	O14920	63
P08107	Q12933	64
P08107	P19438	65
P08107	Q15750	66
P08107	Q01201	67
P08107	Q13077	68
P08107	Q9NYJ8	69
P08107	P63104	70
P08107	Q99558	71
P08107	P11142	72
P08107	Q14164	73
P08107	P20333	74
P08107	Q15628	75
P08107	P08238	76
P08107	O43318	77
P08107	Q04206	78
P08107	Q15653	79
P08107	O15111	80
P08107	Q13233	81
P08107	Q13546	82
P08107	O00221	83
P08107	Q9UHD2	84
P08107	Q00653	85
