recall,precision
0.1708542713567839,0.8947368421052632
0.17587939698492464,0.8974358974358975
0.18090452261306533,0.9
0.18592964824120603,0.9024390243902439
0.19095477386934673,0.9047619047619048
0.19597989949748743,0.9069767441860465
0.20100502512562815,0.9090909090909091
0.20603015075376885,0.9111111111111111
0.21105527638190955,0.9130434782608695
0.21608040201005024,0.9148936170212766
0.1658291457286432,0.9166666666666666
0.22110552763819097,0.9166666666666666
0.22613065326633167,0.9183673469387755
0.15577889447236182,0.9393939393939394
0.16080402010050251,0.9411764705882353
0.1507537688442211,0.967741935483871
0.005025125628140704,1.0
0.010050251256281407,1.0
0.01507537688442211,1.0
0.020100502512562814,1.0
0.02512562814070352,1.0
0.03015075376884422,1.0
0.035175879396984924,1.0
0.04020100502512563,1.0
0.04522613065326633,1.0
0.05025125628140704,1.0
0.05527638190954774,1.0
0.06030150753768844,1.0
0.06532663316582915,1.0
0.07035175879396985,1.0
0.07537688442211055,1.0
0.08040201005025126,1.0
0.08542713567839195,1.0
0.09045226130653267,1.0
0.09547738693467336,1.0
0.10050251256281408,1.0
0.10552763819095477,1.0
0.11055276381909548,1.0
0.11557788944723618,1.0
0.12060301507537688,1.0
0.12562814070351758,1.0
0.1306532663316583,1.0
0.135678391959799,1.0
0.1407035175879397,1.0
0.1457286432160804,1.0
0.0,1.0
